Rank,City,Municipality,State,City status,Region,Geo. coordinates,2010 Census,2020 Census,Change %
65,Tehuacan,Tehuacán,Puebla,City,East,18°27′50″N97°23′35″W﻿/ 18.46389°N 97.39306°W﻿/ 18.46389; -97.39306,"248,716","293,825",18.14
66,San Francisco Coacalco,Coacalco,State of Mexico,City,Center,19°38′00″N99°05′35″W﻿/ 19.63333°N 99.09306°W﻿/ 19.63333; -99.09306,"277,959","293,245",5.5
67,Nogales,Nogales,Sonora,City,North,31°19′07″N110°56′45″W﻿/ 31.31861°N 110.94583°W﻿/ 31.31861; -110.94583,"212,533","261,137",22.87
68,Oaxaca,Oaxaca,Oaxaca,State capital and largest city,South,17°04′04″N96°43′12″W﻿/ 17.06778°N 96.72000°W﻿/ 17.06778; -96.72000,"255,029","258,913",1.52
69,La Paz,La Paz,Baja California Sur,State capital and largest city,North,24°08′32″N110°18′39″W﻿/ 24.14222°N 110.31083°W﻿/ 24.14222; -110.31083,"215,178","250,141",16.25
70,Campeche,Campeche,Campeche,State capital and largest city,South,19°50′45″N90°32′12″W﻿/ 19.84583°N 90.53667°W﻿/ 19.84583; -90.53667,"220,389","249,623",13.26
71,Monclova,Monclova,Coahuila,City,North,26°54′03″N101°25′00″W﻿/ 26.90083°N 101.41667°W﻿/ 26.90083; -101.41667,"215,271","237,169",10.17
72,Garcia,García,Nuevo Leon,City,North,25°49′00″N100°35′00″W﻿/ 25.81667°N 100.58333°W﻿/ 25.81667; -100.58333,"93,641","234,698",150.64
73,Chilpancingo,Chilpancingo,Guerrero,State capital,West,17°33′00″N99°30′04″W﻿/ 17.55000°N 99.50111°W﻿/ 17.55000; -99.50111,"187,251","225,728",20.55
74,Puerto Vallarta,Puerto Vallarta,Jalisco,City,West,20°36′49″N105°13′38″W﻿/ 20.61361°N 105.22722°W﻿/ 20.61361; -105.22722,"203,342","224,166",10.24
75,Tapachula,Tapachula,Chiapas,City,South,14°54′29″N92°15′38″W﻿/ 14.90806°N 92.26056°W﻿/ 14.90806; -92.26056,"202,672","217,550",7.34
76,Buenavista,Tultitlán,State of Mexico,City,Center,19°36′30″N99°10′10″W﻿/ 19.60833°N 99.16944°W﻿/ 19.60833; -99.16944,"206,081","216,776",5.19
77,Coatzacoalcos,Coatzacoalcos,Veracruz,City,East,18°08′09″N94°27′48″W﻿/ 18.13583°N 94.46333°W﻿/ 18.13583; -94.46333,"235,983","212,540",-9.93
78,Ciudad Madero,Ciudad Madero,Tamaulipas,City,North,22°16′35″N97°49′53″W﻿/ 22.27639°N 97.83139°W﻿/ 22.27639; -97.83139,"197,216","205,933",4.42
79,Cabo San Lucas,Los Cabos,Baja California Sur,City,North,22°53′23″N109°54′56″W﻿/ 22.88972°N 109.91556°W﻿/ 22.88972; -109.91556,"68,463","202,694",196.06
80,Chicoloapan,Chicoloapan,State of Mexico,City,Center,19°24′55″N98°54′04″W﻿/ 19.41528°N 98.90111°W﻿/ 19.41528; -98.90111,"172,919","193,532",11.92
81,Ciudad del Carmen,Carmen,Campeche,City,South,18°38′18″N91°50′07″W﻿/ 18.63833°N 91.83528°W﻿/ 18.63833; -91.83528,"169,466","191,238",12.85
82,San Cristobal de las Casas,San Cristóbal de las Casas,Chiapas,City,South,16°44′12″N92°38′18″W﻿/ 16.73667°N 92.63833°W﻿/ 16.73667; -92.63833,"158,027","183,509",16.13
83,Poza Rica,Poza Rica,Veracruz,City,East,20°32′03″N97°26′37″W﻿/ 20.53417°N 97.44361°W﻿/ 20.53417; -97.44361,"185,242","180,057",-2.8
84,San Juan del Rio,San Juan del Río,Queretaro,City,Center,20°23′20″N99°59′47″W﻿/ 20.38889°N 99.99639°W﻿/ 20.38889; -99.99639,"138,878","177,719",27.97
85,San Luis Rio Colorado,San Luis Río Colorado,Sonora,City,North,32°28′36″N114°45′45″W﻿/ 32.47667°N 114.76250°W﻿/ 32.47667; -114.76250,"158,089","176,685",11.76
86,Chalco,Chalco,State of Mexico,City,Center,19°15′53″N98°53′51″W﻿/ 19.26472°N 98.89750°W﻿/ 19.26472; -98.89750,"168,720","174,704",3.55
87,Jiutepec,Jiutepec,Morelos,City,Center,18°52′53″N99°10′40″W﻿/ 18.88139°N 99.17778°W﻿/ 18.88139; -99.17778,"162,427","174,629",7.51
88,Piedras Negras,Piedras Negras,Coahuila,City,North,28°42′00″N100°31′23″W﻿/ 28.70000°N 100.52306°W﻿/ 28.70000; -100.52306,"150,178","173,959",15.84
89,Guadalupe,Guadalupe,Zacatecas,State largest city,Center,22°45′10″N102°30′28″W﻿/ 22.75278°N 102.50778°W﻿/ 22.75278; -102.50778,"124,623","170,029",36.43
90,Chetumal,Othón P. Blanco,Quintana Roo,State capital,South,18°30′13″N88°18′19″W﻿/ 18.50361°N 88.30528°W﻿/ 18.50361; -88.30528,"151,243","169,028",11.76
91,Miramar,Altamira,Tamaulipas,City,North,22°19′59″N97°51′59″W﻿/ 22.33306°N 97.86639°W﻿/ 22.33306; -97.86639,"118,614","161,820",36.43
92,Salamanca,Salamanca,Guanajuato,City,Center,20°34′13″N101°11′50″W﻿/ 20.57028°N 101.19722°W﻿/ 20.57028; -101.19722,"160,169","160,682",0.32
93,Ciudad Acuña,Acuña,Coahuila,City,North,29°19′27″N100°55′54″W﻿/ 29.32417°N 100.93167°W﻿/ 29.32417; -100.93167,"134,233","160,225",19.36
94,Manzanillo,Manzanillo,Colima,State largest city,West,19°03′08″N104°18′57″W﻿/ 19.05222°N 104.31583°W﻿/ 19.05222; -104.31583,"130,035","159,853",22.93
95,San Pablo de las Salinas,Tultitlán,State of Mexico,City,Center,19°39′56″N99°05′30″W﻿/ 19.66556°N 99.09167°W﻿/ 19.66556; -99.09167,"189,453","157,998",-16.6
96,Cuautla,Cuautla,Morelos,City,Center,18°48′44″N98°57′21″W﻿/ 18.81222°N 98.95583°W﻿/ 18.81222; -98.95583,"154,358","157,336",1.93
97,Zamora,Zamora,Michoacan,City,West,19°59′08″N102°16′59″W﻿/ 19.98556°N 102.28306°W﻿/ 19.98556; -102.28306,"141,627","154,546",9.12
98,Minatitlan,"Minatitlán, Cosoleacaque‡",Veracruz,City,East,32°28′36″N114°45′45″W﻿/ 32.47667°N 114.76250°W﻿/ 32.47667; -114.76250,"159,545","149,162",-6.51
99,Villa de alvarez,Villa de Álvarez,Colima,City,West,19°16′02″N103°44′16″W﻿/ 19.26722°N 103.73778°W﻿/ 19.26722; -103.73778,"117,600","147,496",25.42
100,Colima,Colima,Colima,State capital,West,19°14′37″N103°43′51″W﻿/ 19.24361°N 103.73083°W﻿/ 19.24361; -103.73083,"137,383","146,965",6.97
101,Guanajuato,Guanajuato,Guanajuato,State capital,Center,21°01′04″N 101°15′24″W,"171,709","194,500",13.3
102,Santiago,Santiago,Nuevo Leon,City,North,25°26′N 100°08′W,"40,468","46,784",15.6
103,Zacatecas,Zacatecas,Zacatecas,State capital and largest city,Center,22°46′25″N 102°34′25″W,"310,000","369,000",19
